model,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,ml01,ml02,ml03,ml04,ml05,ml06,ml07,ml08,ml09,ml10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,score,accuracy,sampling_controlled
seed-2.0-lite,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.5,0.7,1.0,0.8,0.9,0.0,0.9,1.0,1.0,0.9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43.75,0.875,yes
gpt-5.5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.3,0.7,0.2,0.8,0.2,0.9,0.8,1.0,0.8,0.9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,42.60,0.852,no
qwen3.6-flash,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.8,0.8,0.2,0.5,0.8,0.9,0.8,1.0,0.8,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,41.75,0.835,yes
gemini-3.1-flash-lite,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0.8,0.7,0.2,0.6,0.8,0.7,0.8,0.9,0.7,0.9,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,38.05,0.761,yes
claude-sonnet-4.6,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0.5,0.8,0.2,0.7,0.9,0.9,0.9,0.4,0.8,1.0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,37.20,0.744,yes
grok-4.3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.5,0.6,0.2,0.6,0.8,0.7,0.8,0.8,0.7,1.0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,36.80,0.736,yes
gemini-2.5-flash,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0.5,0.7,0.2,0.1,0.8,0.9,0.5,1.0,0.7,0.2,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,34.70,0.694,yes
deepseek-v4-flash,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.8,0.7,0.1,0.7,0.5,0.3,0.8,0.9,0.7,0.9,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,34.40,0.688,yes
gpt-4o,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0.7,0.7,0.1,0.1,0.8,0.5,0.7,0.0,0.4,0.0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,25.85,0.517,yes
claude-3-haiku,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0.0,0.5,0.1,0.2,0.7,0.1,0.2,0.1,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,12.90,0.258,yes
